Filename;UnifiedQualityScore;BackgroundUniformity;IlluminationUniformity;LuminanceMean;LuminanceVariance;UnderExposurePrevention;OverExposurePrevention;DynamicRange;Sharpness;CompressionArtifacts;NaturalColour;SingleFacePresent;EyesOpen;MouthClosed;EyesVisible;MouthOcclusionPrevention;FaceOcclusionPrevention;InterEyeDistance;HeadSize;LeftwardCropOfTheFaceImage;RightwardCropOfTheFaceImage;DownwardCropOfTheFaceImage;UpwardCropOfTheFaceImage;HeadPoseYaw;HeadPosePitch;HeadPoseRoll;ExpressionNeutrality;NoHeadCoverings;UnifiedQualityScore.scalar;BackgroundUniformity.scalar;IlluminationUniformity.scalar;LuminanceMean.scalar;LuminanceVariance.scalar;UnderExposurePrevention.scalar;OverExposurePrevention.scalar;DynamicRange.scalar;Sharpness.scalar;CompressionArtifacts.scalar;NaturalColour.scalar;SingleFacePresent.scalar;EyesOpen.scalar;MouthClosed.scalar;EyesVisible.scalar;MouthOcclusionPrevention.scalar;FaceOcclusionPrevention.scalar;InterEyeDistance.scalar;HeadSize.scalar;LeftwardCropOfTheFaceImage.scalar;RightwardCropOfTheFaceImage.scalar;DownwardCropOfTheFaceImage.scalar;UpwardCropOfTheFaceImage.scalar;HeadPoseYaw.scalar;HeadPosePitch.scalar;HeadPoseRoll.scalar;ExpressionNeutrality.scalar;NoHeadCoverings.scalar;Unnamed: 57
Asian_492_24.png;22.86643;10.190266;0.092593;0.63339;0.034797;0.022904;0.0;7.271601;-23;0.984764;0.0;0.0;0.122256;0.176382;0.0;0.749108;0.164993;98.448193;0.497139;2.092882;2.061331;0.978935;1.032575;15.021299;5.234316;-1.760046;-9988.371094;0.0;49;95;49;97;85;100.0;100.0;91;38;100;100;100;100;60;100;25;84;81;56;100;100;1;0;93;99;100;27;100;
Asian_492_67.png;22.546476;52.939145;0.208478;0.599725;0.051235;0.040822;0.0;7.227532;-26;0.966013;0.0;0.0;0.054702;0.216096;0.0;0.0;0.069937;97.074698;0.543397;2.038772;2.178267;0.907869;0.932406;-16.256752;8.832665;-0.076042;-13151.84375;0.0;46;75;62;98;70;100.0;100.0;90;32;100;100;100;97;43;100;100;93;79;27;100;100;1;0;92;98;100;16;100;
Asian_492_71.png;22.089315;7.343018;0.32898;0.623106;0.033127;0.03586;0.0;7.062705;-23;0.969689;0.0;0.0;0.138306;0.210453;0.0;0.0;0.06191;107.228111;0.506842;2.065184;1.906324;0.953617;1.019384;20.068687;7.542993;-3.120396;-10132.597656;0.0;41;96;72;97;87;100.0;100.0;88;38;100;100;100;100;46;100;100;94;87;49;100;100;1;0;88;98;100;26;100;
Asian_492_81.png;23.534487;388.386823;0.653047;0.648142;0.03568;0.030497;0.0;7.248191;-27;0.973779;0.0;0.0;0.127776;0.111187;0.0;0.0;0.033089;103.1582;0.483405;1.961165;1.951456;1.020538;1.04812;-3.173541;-4.815436;0.812058;-3516.884521;0.0;55;4;88;95;84;100.0;100.0;91;30;100;100;100;100;81;100;100;97;84;68;100;100;2;0;100;99;100;57;100;
Asian_492_86.png;24.33041;120.947532;0.528549;0.593337;0.042648;0.031158;0.0;7.484493;-25;0.936766;0.0;0.0;0.090883;0.23617;0.0;0.786653;0.213651;100.104386;0.525264;2.030259;2.092728;0.932863;0.970939;-16.368901;0.043408;1.32129;-10170.835938;0.0;63;47;83;98;77;100.0;100.0;94;34;100;100;100;100;35;100;21;79;82;36;100;100;1;0;92;100;100;26;100;
Asian_492_88.png;23.221867;33.568714;0.409058;0.636403;0.030935;0.027214;0.0;6.886325;-27;0.960326;0.0;0.0;0.104288;0.157459;0.0;0.0;0.075832;102.279933;0.508508;2.019899;1.979901;0.983268;0.983268;12.106957;4.725076;-1.010551;-7566.458496;0.0;52;84;76;96;89;100.0;100.0;86;30;100;100;100;100;67;100;100;92;83;47;100;100;2;0;96;99;100;37;100;
Asian_492_91.png;23.595181;66.251021;0.405817;0.506624;0.029649;0.034705;0.0;7.068649;-28;0.963009;0.0;0.0;0.107488;0.074678;0.0;0.0;0.042311;101.970059;0.499046;2.019899;1.979901;1.00859;0.995232;11.266501;-6.859477;-0.755988;-10400.155273;0.0;56;69;76;100;90;100.0;100.0;88;29;100;100;100;100;89;100;100;96;83;55;100;100;2;0;96;99;100;25;100;
Asian_493_2.png;21.547873;30.025409;0.617357;0.576014;0.038571;0.035358;0.0;7.227979;-35;0.916202;0.0;0.0;0.08516;0.139241;0.0;0.0;0.029586;104.906376;0.526667;1.941949;1.941949;0.949367;0.949367;7.456603;1.320803;-1.704715;-11782.287109;0.0;36;86;87;99;81;100.0;100.0;90;17;100;100;100;100;73;100;100;97;85;36;100;100;1;0;98;100;100;20;100;
Asian_493_30.png;20.238398;135.747383;0.556122;0.56066;0.025962;0.028753;0.0;6.866494;-24;0.9333;0.0;0.0;0.116596;0.129673;0.0;0.0;0.014635;108.025846;0.516677;1.879307;1.897823;0.96127;0.974173;0.667441;0.608262;-0.335373;-9422.217773;0.0;26;42;84;99;94;100.0;100.0;86;36;100;100;100;100;76;100;100;99;87;42;100;100;1;0;100;100;100;29;100;
Asian_495_18.png;22.853321;31.509428;0.234568;0.253899;0.026135;0.246491;0.0;7.128716;-19;0.921134;0.0;0.0;0.07867;0.101575;0.0;0.0;0.039676;101.453531;0.525066;2.030199;1.999898;0.926867;0.977655;12.613329;-4.816352;-1.814964;-15558.661133;0.0;49;85;65;75;94;100.0;100.0;89;45;100;100;100;100;84;100;100;96;83;36;100;100;1;0;95;99;100;11;100;
