Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE,Threshold
11,0.016267510167193855,0.004120879120879121,1.0,1.0,1.0,3.947582467239042,3.2106868504292816,0.18
12,0.016136468418626097,0.010762751520823585,1.0,1.0,1.0,1.4992883917653899,1.3744662938240424,0.18
13,0.02082347373402745,0.0037896731406916154,1.0,1.0,1.0,5.4947941315664925,4.371095598674869,0.18
14,0.016551724137931035,0.006038086391082211,1.0,1.0,1.0,2.7412201591511938,2.3059151193633953,0.18
15,0.017889908256880735,0.006947660954145438,1.0,1.0,1.0,2.574954128440367,2.1812155963302753,0.18
16,0.015532206486980357,0.0074142724745134385,1.0,1.0,1.0,2.0949063499314757,1.8211797624486068,0.18
17,0.018970189701897018,0.00801068090787717,1.0,1.0,1.0,2.3681120144534775,2.0260840108401084,0.18
18,0.02157943067033976,0.0038186157517899762,1.0,1.0,1.0,5.651113406795225,4.488335055096418,0.18
19,0.017094017094017096,0.004502476361999099,1.0,1.0,1.0,3.7965811965811973,3.097435897435898,0.18
20,0.019981834695731154,0.0018796992481203006,1.0,1.0,1.0,10.630336058128975,8.222752043596731,0.18
