,Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE,Threshold
0,1,0.05335786568537258,0.015466408893185114,1.0,1.0,0.0,0.2752768338221803,0.20645762536663526,0.31
1,2,0.040348464007336084,0.014144271570014143,1.0,1.0,0.0,0.24043748363601744,0.18032811272701307,0.31
2,3,0.04200542005420054,0.01734367868553172,1.0,1.0,0.0,0.2077684572500391,0.1558263429375293,0.31
3,4,0.05127041742286751,0.013438368860055607,1.0,1.0,0.0,0.29232543782694864,0.21924407837021148,0.31
4,5,0.05504587155963303,0.012785388127853882,1.0,1.0,0.0,0.3115118577075099,0.23363389328063242,0.31
5,6,0.04696762425900593,0.015214384508990318,1.0,1.0,0.0,0.2553249756572541,0.19149373174294057,0.31
6,7,0.03959945380063723,0.016574585635359115,1.0,1.0,0.0,0.20494225087295193,0.15370668815471394,0.31
7,8,0.04483074107959744,0.012861736334405145,1.0,1.0,0.0,0.27706389271327314,0.20779791953495486,0.31
8,9,0.042975970425138635,0.009900990099009901,1.0,1.0,0.0,0.31275417495889934,0.2345656312191745,0.31
9,10,0.049977283053157656,0.016666666666666666,1.0,1.0,0.0,0.2499147824110897,0.18743608680831728,0.31
