Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE,Threshold
1,0.041689665746703464,0.02557763774438522,0.06340035445675832,0.0015329356840008874,41.35878307035537,1.6299263505764998,0.10445947380706233,0.39
2,0.036925321863423656,0.021123205552926336,0.060914077601837154,0.0015606005898971223,39.032458373490854,1.7480927205463879,0.11041925591695734,0.39
3,0.0386813352260507,0.019601076529061946,0.061607602113033,0.0016516363352437659,37.30094861750504,1.973429120932495,0.1206193599652223,0.39
4,0.037822645694696524,0.019252550626914354,0.06357275480801697,0.0016982752882578188,37.433715964741836,1.9645524598625033,0.12025300601187783,0.39
5,0.04397043832823649,0.021978356957780835,0.059697392346162344,0.0015988021059749795,37.338825165243904,2.000624451168054,0.12176561092667945,0.39
6,0.038106095151238785,0.024636349716735582,0.058371045299402215,0.0016315187998821167,35.77712084460358,1.5467427434595313,0.09935423757290338,0.39
7,0.036384391413977236,0.023554735547355474,0.06260280424287934,0.0016859443585588605,37.13218878662153,1.54467416283591,0.0993553215266634,0.39
8,0.04279070274038254,0.016997996609647095,0.061343888769866003,0.001681857638888889,36.47388893980269,2.5173968274343332,0.14005140888296086,0.39
9,0.03524144268136877,0.01741050518568082,0.06208607841116077,0.001608403381555371,38.60106182599587,2.024148196936225,0.12284165942901727,0.39
10,0.038053410066131575,0.019256860931236505,0.05963004817039292,0.0016079261410710546,37.085066664559434,1.976096218383607,0.12071388305352403,0.39
