Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE,Threshold
1,0.007285974499089252,0.041689665746703464,0.07073007992174112,0.06340035445675832,1.1156101653795383,5.721906622949719,0.1351276476055663,0.39
2,0.006645898234683281,0.036925321863423656,0.0718899952769681,0.060914077601837154,1.1801868813592562,5.556107023301007,0.13546688733172407,0.39
3,0.007189614864033469,0.0386813352260507,0.07325634648310071,0.061607602113033,1.189079658505559,5.380167916111405,0.13412249509998728,0.39
4,0.0061472200469851225,0.037822645694696524,0.06844293516052632,0.06357275480801697,1.0766079803547948,6.15280491009813,0.1373786969553571,0.39
5,0.006398064731398065,0.04397043832823649,0.06886377320396725,0.059697392346162344,1.1535474247099273,6.872459121206153,0.1443218183780266,0.39
6,0.005998098163996782,0.038106095151238785,0.06946954852784558,0.058371045299402215,1.190137133407938,6.353029594216258,0.1419265615578665,0.39
7,0.008644459348684701,0.036384391413977236,0.06956941074415324,0.06260280424287934,1.1112826587309788,4.208984037307587,0.11880327892032021,0.39
8,0.005206971677559912,0.04279070274038254,0.06988804747201187,0.061343888769866003,1.1392829648126863,8.217963411742067,0.1508877698090616,0.39
9,0.009531374106433678,0.03524144268136877,0.07122387104483416,0.06208607841116077,1.1471794139100204,3.697414694265686,0.11195294527761818,0.39
10,0.005071725659960954,0.038053410066131575,0.07198172168573433,0.05963004817039292,1.2071384124802207,7.503049772396697,0.14926375828499466,0.39
