Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE,Threshold
1,0.05795768169273229,0.031022782355792537,1.0,0.9401544401544402,0.33628482659364145,0.1513528819216486,0.19758586808964682,0.27
2,0.0453920220082531,0.02318977756743966,1.0,0.9319727891156463,0.4959567356443676,0.16186688434960894,0.2453893471732986,0.27
3,0.04923215898825655,0.022789425706472195,1.0,0.9477911646586346,0.36245269777566147,0.18357505874013139,0.22829446849901391,0.27
4,0.05127041742286751,0.031004164738546967,1.0,0.9314115308151093,0.41682660296181756,0.12316229479330681,0.1965783718354345,0.27
5,0.054587155963302755,0.02880658436213992,1.0,0.9446601941747573,0.3317983196897034,0.15457138329900177,0.19887811739667718,0.27
6,0.04970360237118103,0.03123564538355535,1.0,0.9272369714847591,0.449491628188396,0.11408530163010427,0.1979368832696772,0.27
7,0.04915794264906691,0.023062730627306273,1.0,0.9417571569595261,0.4032283306027271,0.18066303482037474,0.23630435876596284,0.27
8,0.059926806953339434,0.018955154877484975,1.0,0.9365234375,0.4023515707947029,0.2597022888688103,0.29536460935028347,0.27
9,0.04621072088724584,0.01826697892271663,1.0,0.9340344168260039,0.511537968696301,0.21669307409297203,0.2904042977438043,0.27
10,0.05088596092685143,0.021739130434782608,1.0,0.9246778989098117,0.5185680298502114,0.20066639466884267,0.2801418034641848,0.27
