Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE,Threshold
1,0.01327088212334114,0.05795768169273229,1.0,1.0,0.0,0.31368595107983305,0.23526446330987477,0.27
2,0.012461059190031152,0.0453920220082531,1.0,1.0,0.0,0.28460854751499887,0.21345641063624915,0.27
3,0.01317829457364341,0.04923215898825655,0.9985915492957746,1.0,0.011283772379801887,0.28884475562138145,0.21945450981098658,0.27
4,0.01096319498825372,0.05127041742286751,1.0,1.0,0.0,0.32383804244192355,0.24287853183144265,0.27
5,0.008258258258258258,0.054587155963302755,0.9985029940119761,1.0,0.011910224529241334,0.3685940993380387,0.27942313063583935,0.27
6,0.01152073732718894,0.04970360237118103,1.0,1.0,0.0,0.31182749566679824,0.23387062175009868,0.27
7,0.01486697965571205,0.04915794264906691,0.9986149584487535,1.0,0.010816425084073406,0.26779386650497583,0.20354950614975023,0.27
8,0.011764705882352941,0.059926806953339434,0.9972413793103448,1.0,0.0192395206945734,0.33589820584040236,0.25673353455394515,0.27
9,0.010325655281969817,0.04621072088724584,1.0,1.0,0.0,0.31736262594785497,0.23802196946089121,0.27
10,0.006875477463712758,0.05088596092685143,0.9985528219971056,1.0,0.0125271984495006,0.3809676895990193,0.2888575668116396,0.27
