Iteration,FNIR_c,FNIR_a,FPIR_c,FPIR_a,FPD,FND,GARBE,Threshold
11,0.032083145051965654,0.005494505494505495,1.0,1.0,1.0,5.839132399457749,4.629349299593311,0.24
12,0.04333794375288151,0.01544220870379036,1.0,1.0,1.0,2.8064601757547813,2.354845131816086,0.24
13,0.04259346900141978,0.006158218853623875,1.0,1.0,1.0,6.916524081692089,5.437393061269067,0.24
14,0.041379310344827586,0.008824895494658615,1.0,1.0,1.0,4.688929219600726,3.7666969147005442,0.24
15,0.036238532110091745,0.009726725335803613,1.0,1.0,1.0,3.7256662297946703,3.0442496723460026,0.24
16,0.04020100502512563,0.011121408711770158,1.0,1.0,1.0,3.6147403685092128,2.9610552763819094,0.24
17,0.04155374887082204,0.011570983533600357,1.0,1.0,1.0,3.591202835105274,2.943402126328955,0.24
18,0.048668503213957756,0.00477326968973747,1.0,1.0,1.0,10.19605142332415,7.897038567493112,0.24
19,0.0449842555105713,0.007203962179198559,1.0,1.0,1.0,6.244376968061179,4.933282726045884,0.24
20,0.03996366939146231,0.002819548872180451,1.0,1.0,1.0,14.173781410838632,10.880336058128975,0.24
